vcf_order,isolate,isolate_vcf,label_raxml_ng,location_full,lon,lat,Region,region_noaa,region_IPCC,Country,Location,State_Department,Host,municipality_resolution,Municipality,field,clade,subclade,Genetic_Cluster,source,comments,ClimZ_code,ClimZ,description,RGB
24,MISO171_7,MISO171_7_R1,MISO171_7,"Somers Rd and Reeder Rd, Lyons, MI",-84.973,42.946,North,Midwest,ENA,US,Midwest US,MI,Soybean,yes,"Lyons, MI",2,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
25,MISO171_8,MISO171_8_R1,MISO171_8,"Somers Rd and Reeder Rd, Lyons, MI",-84.973,42.946,North,Midwest,ENA,US,Midwest US,MI,Soybean,yes,"Lyons, MI",2,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
26,MI_SF_10_16,MI_SF_10_16_R1,MI_SF_10_1,"Hopp Rd Westphalia, MI",-84.72,42.881,North,Midwest,ENA,US,Midwest US,MI,Soybean,yes,"Westphalia, MI",3,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
27,MI_SF_1_36,MI_SF_1_36_R1,MI_SF_1_36,"Elm Valley Rd, Pardel Rd near Galien, MI",-86.562,41.828,North,Midwest,ENA,US,Midwest US,MI,Soybean,yes,"Galien, MI",4,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
28,MI_SF_2_16,MI_SF_2_16_R1,MI_SF_2_16,"Allegan County, MI",-85.836,42.624,North,Midwest,ENA,US,Midwest US,MI,Soybean,yes,"Allegan County, MI",Unknown,US,US1,US1A,M. Chilvers,,26,Dfb,"Cold, no dry season, warm summer",[55 200 255]
29,MI_SF_9_8,MI_SF_9_8_R1,MI_SF_9_8,"Hopp Rd Westphalia, MI",-84.72,42.881,North,Midwest,ENA,US,Midwest US,MI,Soybean,yes,"Westphalia, MI",3,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
30,MP144,MP144_R1,MP144,Kentucky,-84.27,37.839,South,Central,ENA,US,Central US,KY,Soybean,no,Unknown,Unknown,US,US2,US2,R. Baird. Obtained from Kiersten Wise,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
31,MP220,MP220_R1,MP220,Tennessee,-86.58,35.517,South,Central,ENA,US,Central US,TN,Soybean,no,Unknown,Unknown,US,US1,US1A,R. Baird. Obtained from Kiersten Wise,,14,Cfa,"Temperate, no dry season, hot summer",[200 255 80]
32,MP223,MP223_R1,MP223,Texas,-99.902,31.969,South,South ,CNA,US,South US,TX,Soybean,no,Unknown,Unknown,US,US2,US2,R. Baird. Obtained from Kiersten Wise,,6,BSh,"Arid, steppe, hot",[245 165 0]
33,MP249,MP249_R1,MP249,Georgia,-82.9,32.166,South,Southeast,ENA,US,South US,GA,Soybean,no,Unknown,Unknown,US,US2,US2,R. Baird. Obtained from Kiersten Wise,,14,Cfa,"Temperate, no dry season, hot summer",[200 255 80]
34,MP250,MP250_R1,MP250,Georgia,-82.9,32.166,South,Southeast,ENA,US,South US,GA,Soybean,no,Unknown,Unknown,US,US2,US2,R. Baird. Obtained from Kiersten Wise,,14,Cfa,"Temperate, no dry season, hot summer",[200 255 80]
35,MP258,MP258_R1,MP258,South Carolina,-81.164,33.836,South,Southeast,ENA,US,South US,SC,Soybean,no,Unknown,Unknown,US,US1,US1B,R. Baird. Obtained from Kiersten Wise,,14,Cfa,"Temperate, no dry season, hot summer",[200 255 80]
36,M_15_10,M_15_10_R1,M_15_10,"700 E. Kent Rd, Merrill, MI",-84.339,43.511,North,Midwest,ENA,US,Midwest US,MI,Dry bean,yes,"Merrill, MI",6,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
37,M_15_11,M_15_11_R1,M_15_11,"700 E. Kent Rd, Merrill, MI",-84.339,43.511,North,Midwest,ENA,US,Midwest US,MI,Dry bean,yes,"Merrill, MI",6,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
38,M_15_12,M_15_12_R1,M_15_12,"2135 W Wadsworth Rd, Bad Axe, MI 48413 ",-83.061,43.75,North,Midwest,ENA,US,Midwest US,MI,Dry bean,yes,"Bad Axe, MI",7,US,US1,US1A,M. Chilvers,,26,Dfb,"Cold, no dry season, warm summer",[55 200 255]
39,M_15_13,M_15_13_R1,M_15_13,"2135 W Wadsworth Rd, Bad Axe, MI 48413 ",-83.059,43.75,North,Midwest,ENA,US,Midwest US,MI,Dry bean,yes,"Bad Axe, MI",7,US,US1,US1A,M. Chilvers,,26,Dfb,"Cold, no dry season, warm summer",[55 200 255]
40,M_15_14,M_15_14_R1,M_15_14,"2135 W Wadsworth Rd, Bad Axe, MI 48413 ",-83.061,43.75,North,Midwest,ENA,US,Midwest US,MI,Dry bean,yes,"Bad Axe, MI",7,US,US1,US1A,M. Chilvers,,26,Dfb,"Cold, no dry season, warm summer",[55 200 255]
41,M_15_1,M_15_1_R1,M_15_1,"9555 E. Adams Rd, Wheeler, MI",-84.419,43.451,North,Midwest,ENA,US,Midwest US,MI,Dry bean,yes,"Wheeler, MI",8,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
42,M_15_2,M_15_2_R1,M_15_2,"692 Freeland Rd, Merrill, MI ",-84.343,43.525,North,Midwest,ENA,US,Midwest US,MI,Dry bean,yes,"Merrill, MI ",9,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
43,M_15_3,M_15_3_R1,M_15_3,"692 Freeland Rd, Merrill, MI ",-84.343,43.525,North,Midwest,ENA,US,Midwest US,MI,Dry bean,yes,"Merrill, MI ",9,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
44,M_15_4,M_15_4_R1,M_15_4,"692 Freeland Rd, Merrill, MI ",-84.343,43.525,North,Midwest,ENA,US,Midwest US,MI,Dry bean,yes,"Merrill, MI ",9,US,US2,US2,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
45,M_15_5,M_15_5_R1,M_15_5,"692 Freeland Rd, Merrill, MI ",-84.343,43.525,North,Midwest,ENA,US,Midwest US,MI,Dry bean,yes,"Merrill, MI ",9,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
46,M_15_6,M_15_6_R1,M_15_6,"692 Freeland Rd, Merrill, MI ",-84.342,43.525,North,Midwest,ENA,US,Midwest US,MI,Dry bean,yes,"Merrill, MI ",9,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
47,M_15_7,M_15_7_R1,M_15_7,"692 Freeland Rd, Merrill, MI ",-84.342,43.525,North,Midwest,ENA,US,Midwest US,MI,Dry bean,yes,"Merrill, MI ",9,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
48,M_15_8,M_15_8_R1,M_15_8,"692 Freeland Rd, Merrill, MI ",-84.342,43.525,North,Midwest,ENA,US,Midwest US,MI,Dry bean,yes,"Merrill, MI ",9,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
49,M_15_9,M_15_9_R1,M_15_9,"700 E. Kent Rd, Merrill, MI",-84.339,43.511,North,Midwest,ENA,US,Midwest US,MI,Dry bean,yes,"Merrill, MI ",6,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
50,Md10,Md10_R1,Md10,"Muscoda, WI",-90.443,43.185,North,Midwest,CNA,US,Midwest US,WI,Soybean,yes,"Muscoda, WI",Unknown,US,US1,US1A,T. Hughes. Obtained from Kiersten Wise,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
51,Md3,Md3_R1,Md3,"Muscoda, WI",-90.443,43.185,North,Midwest,CNA,US,Midwest US,WI,Soybean,yes,"Muscoda, WI",Unknown,US,US1,US1A,T. Hughes. Obtained from Kiersten Wise,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
