"","vcf_order","isolate","isolate_vcf","label_raxml","location","lon","lat","Region","region_noaa","region_IPCC","Country","Location","State_Department","Host","municipality_resolution","Municipality","field","clade","subclade","Genetic_Cluster","source","comments","google_maps","rndCoord.lon","rndCoord.lat","ClimateZ","ClimateZ.1"
"64",65,"Mph_40 ","Mph_40_R1","Mph_40_R1","CIAT, Palmira, Colombia",-76.355,3.503,"Colombia","Colombia","NWS","COL","Colombia","VAC","Dry bean","yes","Palmira, VAC","12","COLPR","COLPR","NA","Gloria Mosquera - CIAT","","",-76.3472222222222,3.51388888888889,"Af",3
"65",66,"Mph_45 ","Mph_45_R1","Mph_45_R1","Santander de Quilichao, Cauca, Colombia",-76.485,3.012,"Colombia","Colombia","NWS","COL","Colombia","CAU","Dry bean","yes","Santander de Quilichao, CAU","5","COLPR","COLPR1","COLPR1","Gloria Mosquera - CIAT","","",-76.4861111111111,3.01388888888889,"As",2
"66",67,"Mph_46 ","Mph_46_R1","Mph_46_R1","Santander de Quilichao, Cauca, Colombia",-76.485,3.012,"Colombia","Colombia","NWS","COL","Colombia","CAU","Dry bean","yes","Santander de Quilichao, CAU","5","COLPR","COLPR1","COLPR1","Gloria Mosquera - CIAT","","",-76.4861111111111,3.01388888888889,"As",2
"67",68,"Mph_48 ","Mph_48_R1","Mph_48_R1","Santander de Quilichao, Cauca, Colombia",-76.485,3.012,"Colombia","Colombia","NWS","COL","Colombia","CAU","Dry bean","yes","Santander de Quilichao, CAU","5","COLPR","COLPR1","COLPR1","Gloria Mosquera - CIAT","","",-76.4861111111111,3.01388888888889,"As",2
"68",69,"Mph_49 ","Mph_49_R1","Mph_49_R1","Santander de Quilichao, Cauca, Colombia",-76.485,3.012,"Colombia","Colombia","NWS","COL","Colombia","CAU","Dry bean","yes","Santander de Quilichao, CAU","5","US","US1","US1A","Gloria Mosquera - CIAT","","",-76.4861111111111,3.01388888888889,"As",2
"69",70,"Mph_50 ","Mph_50_R1","Mph_50_R1","Armero, Tolima, Colombia",-74.905,4.965,"Colombia","Colombia","NWS","COL","Colombia","TOL","Dry bean","yes","Armero, TOL","16","COLPR","COLPR1","COLPR1","Gloria Mosquera - CIAT","","",-74.9027777777778,4.95833333333333,"As",1
"70",71,"Mph_52 ","Mph_52_R1","Mph_52_R1","Corpoica, Magdalena, Colombia",-74.224,10.727,"Colombia","Colombia","NWS","COL","Colombia","MAG","Dry bean","yes","Corpoica, MAG","13","COLPR","COLPR1","COLPR1","Gloria Mosquera - CIAT","","",-74.2361111111111,10.7361111111111,"Aw",3
"71",72,"Mph_53 ","Mph_53_R1","Mph_53_R1","Corpoica, Magdalena, Colombia",-74.224,10.727,"Colombia","Colombia","NWS","COL","Colombia","MAG","Dry bean","yes","Corpoica, MAG","13","COLPR","COLPR1","COLPR1","Gloria Mosquera - CIAT","","",-74.2361111111111,10.7361111111111,"Aw",3
"72",73,"Mph_54 ","Mph_54_R1","Mph_54_R1","Corpoica, Magdalena, Colombia",-74.224,10.727,"Colombia","Colombia","NWS","COL","Colombia","MAG","Dry bean","yes","Corpoica, MAG","13","COLPR","COLPR2","COLPR2","Gloria Mosquera - CIAT","","",-74.2361111111111,10.7361111111111,"Aw",3
"73",74,"Mph_56 ","Mph_56_R1","Mph_56_R1","Corpoica, Magdalena, Colombia",-74.224,10.727,"Colombia","Colombia","NWS","COL","Colombia","MAG","Dry bean","yes","Corpoica, MAG","13","COLPR","COLPR2","COLPR2","Gloria Mosquera - CIAT","","",-74.2361111111111,10.7361111111111,"Aw",3
"74",75,"Mph_5 ","Mph_5_R1","Mph_5_R1","Santander de Quilichao, Cauca, Colombia",-76.485,3.012,"Colombia","Colombia","NWS","COL","Colombia","CAU","Dry bean","yes","Santander de Quilichao, CAU","5","COLPR","COLPR1","COLPR1","Gloria Mosquera - CIAT","","",-76.4861111111111,3.01388888888889,"As",2
